,Total Upvotes,Time Stamp,Total Comments,Upvote Ratio,Submission #ID
222,18926,1480620502.0,1314,0.57,5fykt8
819,14807,1480623084.0,211,0.7,5fyu9l
593,15765,1480625518.0,247,0.71,5fz2ua
989,14216,1480637244.0,3428,0.88,5g047n
150,20914,1480641462.0,1126,0.88,5g0eu4
446,16809,1480642071.0,332,0.67,5g0gqz
621,15619,1480643362.0,105,0.71,5g0kl8
361,17543,1480649385.0,1034,0.89,5x67of
574,15865,1480655761.0,426,0.88,5g1jxc
134,21400,1480680531.0,641,0.61,5g2xgx
289,18109,1480683668.0,414,0.76,5g34l9
903,14525,1480684483.0,460,0.82,5g36nj
478,16520,1480685652.0,277,0.71,5g39nj
110,22304,1480690551.0,1280,0.61,5g3ngk
163,20458,1480703855.0,517,0.62,5g4wu4
226,18879,1480708476.0,379,0.56,5g5d0p
810,14840,1480718957.0,528,0.69,5g6ca4
109,22361,1480775838.0,858,0.62,5g9t2e
116,21994,1480780686.0,627,0.58,5ga5ga
738,15145,1480806462.0,1522,0.93,5gccj5
920,14449,1480810034.0,414,0.68,5gcmmj
111,22233,1480811327.0,508,0.59,5gcqf6
450,16799,1480851064.0,443,0.52,5gf1wz
490,16478,1480852551.0,198,0.65,5gf4c1
694,15352,1480863237.0,75,0.82,5gfqh7
749,15113,1480864134.0,108,0.68,5gfstg
544,16053,1480870897.0,278,0.89,5ggcfg
352,17612,1480877961.0,489,0.9,65lgtc
756,15091,1480882602.0,918,0.8,5ghf8k
563,15931,1480884594.0,752,0.58,5ghm1k
398,17157,1480940462.0,566,0.56,5glmeu
514,16314,1480953690.0,452,0.57,5gmnhs
774,15015,1480967614.0,514,0.63,5go24k
653,15527,1480976510.0,515,0.65,5goyni
93,22791,1480978526.0,357,0.61,5gp5m4
703,15310,1480986822.0,164,0.68,5gpwqa
73,24230,1480989676.0,530,0.54,5gq5gv
156,20752,1481021779.0,1068,0.61,5gs93r
128,21594,1481025142.0,358,0.65,5gsfv0
747,15136,1481026799.0,423,0.75,5gsjek
452,16752,1481032023.0,351,0.76,5gswyp
315,17966,1481032359.0,1462,0.65,5gsxwz
393,17212,1481051552.0,488,0.67,54n817
312,17984,1481053615.0,392,0.75,5guzkk
71,24355,1481056694.0,1057,0.88,5gvazb
754,15097,1481057641.0,198,0.87,5gvefo
272,18298,1481061329.0,679,0.87,5gvs69
2,40975,1481062936.0,826,0.65,5gvy1j
88,23040,1481066641.0,102,0.7,5gwb1c
37,27912,1481070528.0,689,0.55,5gwnwx
737,15159,1481073905.0,125,0.72,5gwym0
